,story,question,ans,GPT3,COT,SI_reason,SI,Codex_1,GPT3_acc,COT_acc,SI_acc,Codex_1_acc
0,"Mary got the milk there.
John moved to the bedroom.
Sandra went back to the kitchen.
Mary travelled to the hallway.
",Where is the milk? ,hallway, hallway," at t=0, Mary got the milk there. We know that at t=3, Mary travelled to the hallway. Therefore, the milk is in the hallway."," at t=0, Mary got the milk there. We know that at t=3, Mary travelled to the hallway."," Therefore, the milk is in the hallway.",hallway,True,True,True,True
1,"Mary got the milk there.
John moved to the bedroom.
Sandra went back to the kitchen.
Mary travelled to the hallway.
John got the football there.
John went to the hallway.
",Where is the football? ,hallway, hallway," at t=4, John got the football there. We know that at t=5, John went to the hallway. Therefore, the football is in the hallway."," at t=4, John got the football there. We know that at t=5, John went to the hallway."," Therefore, the football is in the hallway.
",hallway,True,True,True,True
2,"Mary got the milk there.
John moved to the bedroom.
Sandra went back to the kitchen.
Mary travelled to the hallway.
John got the football there.
John went to the hallway.
John put down the football.
Mary went to the garden.
",Where is the football? ,hallway, hallway," at t=4, John got the football there. We know that at t=7, Mary went to the garden. Therefore, the football is in the garden."," at t=4, John got the football there. We know that at t=6, John put down the football."," Therefore, the football is in the room.
",hallway,True,False,False,True
3,"Mary got the milk there.
John moved to the bedroom.
Sandra went back to the kitchen.
Mary travelled to the hallway.
John got the football there.
John went to the hallway.
John put down the football.
Mary went to the garden.
John went to the kitchen.
Sandra travelled to the hallway.
",Where is the football? ,hallway, hallway, The football is in the hallway.," at t=4, John got the football there. We know that at t=6, John put down the football."," Therefore, the football is in the room.
",hallway,True,True,False,True
4,"Mary got the milk there.
John moved to the bedroom.
Sandra went back to the kitchen.
Mary travelled to the hallway.
John got the football there.
John went to the hallway.
John put down the football.
Mary went to the garden.
John went to the kitchen.
Sandra travelled to the hallway.
Daniel went to the hallway.
Mary discarded the milk.
",Where is the milk? ,garden, in the discard pile, The milk is in the garden., The milk is in the garden.,"
 
At t=0, Mary got the milk there. We know that at t=3, Mary travelled to the garden. Therefore, the milk is in the garden.",garden,False,True,True,True
5,"Mary journeyed to the bathroom.
Sandra went to the garden.
Daniel went back to the garden.
Daniel went to the office.
Sandra grabbed the milk there.
Sandra put down the milk there.
",Where is the milk? ,garden, office," at t=4, Sandra grabbed the milk there. We know that at t=5, Sandra put down the milk there. Therefore, the milk is in the office."," at t=4, Sandra grabbed the milk there. We know that at t=5, Sandra put down the milk there."," Therefore, the milk is in the kitchen.
",garden,False,False,False,True
6,"Mary journeyed to the bathroom.
Sandra went to the garden.
Daniel went back to the garden.
Daniel went to the office.
Sandra grabbed the milk there.
Sandra put down the milk there.
Daniel went to the hallway.
Sandra got the milk there.
Daniel went to the garden.
Daniel journeyed to the kitchen.
Daniel journeyed to the bedroom.
Mary journeyed to the garden.
Daniel took the football there.
Mary moved to the office.
Sandra travelled to the bedroom.
Daniel dropped the football.
",Where is the football? ,bedroom, bedroom, The football is in the bedroom.," at t=12, Daniel took the football there. We know that at t=15, Daniel dropped the football."," Therefore, the football is in the room.
",bedroom,True,True,False,True
7,"Mary journeyed to the bathroom.
Sandra went to the garden.
Daniel went back to the garden.
Daniel went to the office.
Sandra grabbed the milk there.
Sandra put down the milk there.
Daniel went to the hallway.
Sandra got the milk there.
Daniel went to the garden.
Daniel journeyed to the kitchen.
Daniel journeyed to the bedroom.
Mary journeyed to the garden.
Daniel took the football there.
Mary moved to the office.
Sandra travelled to the bedroom.
Daniel dropped the football.
Sandra left the milk there.
Daniel grabbed the football there.
",Where is the milk? ,bedroom, bedroom, The milk is in the bedroom.," at t=4, Sandra grabbed the milk there. We know that at t=16, Sandra left the milk there."," Therefore, the milk is in the hallway.
",bedroom,True,True,False,True
8,"Mary journeyed to the bathroom.
Sandra went to the garden.
Daniel went back to the garden.
Daniel went to the office.
Sandra grabbed the milk there.
Sandra put down the milk there.
Daniel went to the hallway.
Sandra got the milk there.
Daniel went to the garden.
Daniel journeyed to the kitchen.
Daniel journeyed to the bedroom.
Mary journeyed to the garden.
Daniel took the football there.
Mary moved to the office.
Sandra travelled to the bedroom.
Daniel dropped the football.
Sandra left the milk there.
Daniel grabbed the football there.
Sandra grabbed the milk there.
Daniel went to the kitchen.
",Where is the football? ,kitchen, kitchen, The football is in the kitchen.," at t=12, Daniel took the football there. We know that at t=15, Daniel dropped the football."," Therefore, the football is in the room.
",kitchen,True,True,False,True
9,"Mary journeyed to the bathroom.
Sandra went to the garden.
Daniel went back to the garden.
Daniel went to the office.
Sandra grabbed the milk there.
Sandra put down the milk there.
Daniel went to the hallway.
Sandra got the milk there.
Daniel went to the garden.
Daniel journeyed to the kitchen.
Daniel journeyed to the bedroom.
Mary journeyed to the garden.
Daniel took the football there.
Mary moved to the office.
Sandra travelled to the bedroom.
Daniel dropped the football.
Sandra left the milk there.
Daniel grabbed the football there.
Sandra grabbed the milk there.
Daniel went to the kitchen.
John travelled to the kitchen.
Mary moved to the hallway.
",Where is the football? ,kitchen, garden, The football is in the kitchen.," at t=12, Daniel took the football there. We know that at t=21, Mary moved to the hallway."," Therefore, the football is in the hallway.
",bedroom,False,True,False,False
